"No."	"Lemma"	"Total no. in whole corpus"	"Expected collocate frequency"	"Observed collocate frequency"	"In no. of texts"	"Dice coefficient value"
104	porrigo1	4154	4.71	46	44	0.004
105	fortis	21453	24.323	80	55	0.004
106	uel	295606	335.15	614	364	0.004
107	affero	11415	12.942	58	41	0.004
108	delectabilis	1268	1.438	39	30	0.004
109	doctrina	27151	30.783	88	66	0.004
110	discretio	8164	9.256	53	39	0.004
111	sine	93975	106.546	218	160	0.004
112	tempero	5360	6.077	47	38	0.004
113	fames	3873	4.391	43	41	0.004
114	fastidium	1855	2.103	39	33	0.004
115	qualitas	7872	8.925	49	38	0.004
116	simplex	12113	13.733	57	51	0.004
117	differentia	6339	7.187	46	25	0.004
118	quotidie	12698	14.397	58	55	0.004
119	talis	68550	77.72	157	119	0.004
120	nullus	117960	133.74	247	188	0.004
121	angelus	45679	51.79	116	81	0.004
122	consumo	8635	9.79	50	47	0.004
