"Text"	"No. words in text"	"No. hits in text"	"Freq. per million words"
051_ProAqu_EpAdRu2	5046	3	594.53
051_ProAqu_EpExSeA	10774	2	185.63
051_ProAqu_ExPsACU	69272	18	259.85
051_ProAqu_SeDeExO	20824	2	96.04
052_AuInPeC_Sermon8	6481	5	771.49
052_EcRoCa_LePrPrO	526	1	1901.14
052_PetChr_Sermon7	185854	52	279.79
052_ValCem_Homili2	30984	4	129.1
053_ArnJun_CoDeDeT	31427	1	31.82
053_ArnJun_CoInPs	126772	26	205.09
053_AuInArJ_AnAdQuE	4769	2	419.38
053_AucInc_Praede	39257	5	127.37
053_CapCar_Episto49	6020	1	166.11
053_Eustat_MeLaHe	37220	8	214.94
053_PaHiAuI_SynEpi	1035	1	966.18
053_PatHib_Confes4	5610	5	891.27
053_PatHib_DeTrHa2	3516	2	568.83
053_PatHib_EpAdCo3	1712	3	1752.34
053_PatHib_SySPa	1383	1	723.07
053_SalMas_AdvAva	27562	1	36.28
053_SalMas_DeGuDe	54397	7	128.68
053_SalVie_ExMyInE	8787	1	113.8
053_SalVie_ExMyInP	11812	2	169.32
054_AuInLeI_SeSLeMa	24662	3	121.64
054_LeoI_Episto53	160877	12	74.59
054_LeoI_Sermon9	117476	53	451.16
055_AuInLeI_EpAdDe2	8266	1	120.98
055_LeoI_DeHaEtH	107699	16	148.56
055_LeoI_DeHaEtH2	40292	3	74.46
055_LeoI_DeHaEtH3	124769	1	8.01
055_LeoI_DeHaPe	17140	1	58.34
055_LeoI_SaRoEc	47573	8	168.16
056_AucVar_ApAdOpS	102751	5	48.66
056_AucVar_DoJuCaV	10633	2	188.09
056_LeoI_SerIne2	9389	1	106.51
057_AuInMaT_Episto56	22379	3	134.05
057_AuInMaT_Sermon11	41058	21	511.47
057_AucInc_ViSMaTa	14754	2	135.56
057_AucVar_Testim8	6786	5	736.81
057_MaxTau_ExDeCaE	12324	2	162.28
057_MaxTau_Homili3	123119	35	284.28
057_MaxTau_Sermon10	95972	46	479.31
058_FauRhe_DeGrDeE2	25636	5	195.04
058_FauRhe_Episto62	15010	2	133.24
058_FauRhe_Sermon12	9501	2	210.5
058_GenMas_DeEcDo2	7804	3	384.42
058_GenMas_DeScEc	9368	1	106.75
058_Rurici_Episto60	24092	7	290.55
058_SidApo_Carmin5	28082	4	142.44
058_SidApo_Episto61	59321	8	134.86
058_VicVit_HiPeAfP	25871	5	193.27
059_AucInc_OrdMon	1623	4	2464.57
059_AviVie_DeMoHiG	24820	13	523.77
059_AviVie_Episto63	31619	7	221.39
059_AviVie_Fragme6	12682	1	78.85
059_AviVie_SeInRo	2950	2	677.97
059_Fausti_HoDePaD	1150	3	2608.7
059_GelI_EpEtDe13	54822	2	36.48
059_JulPom_DeViCo	37449	21	560.76
059_Pruden_Carmin6	25991	15	577.12
060_Dracon_CaDeDe	18231	5	274.26
060_Dracon_SaAdGu	2551	2	784.01
060_Pruden_ConSym	15173	1	65.91
060_Pruden_Perist	22327	1	44.79
060_Pruden_Psycho	7465	4	535.83
061_AuInPaN_Episto67	9016	1	110.91
061_AuInPaN_Poemat2	1363	1	733.68
061_Orient_Common2	10194	11	1079.07
061_PauNol_Episto66	112230	45	400.96
061_PauNol_Poemat	73365	17	231.72
061_PauPet_DeViSMa	22906	6	261.94
061_RodBit_Capitu12	9384	5	532.82
061_ViSiClM_CoInGe2	14774	5	338.43
062_EugAfr_Thesau	263031	52	197.7
062_EugAfr_ViSaSe	12247	4	326.61
062_VigTap_ConEut	31032	2	64.45
062_VigTap_DeTri6	52548	1	19.03
063_AucVar_Testim13	5169	1	193.46
063_EnnTic_Carmin7	14715	3	203.87
063_EnnTic_Dictio	19365	6	309.84
063_EnnTic_Episto70	56635	3	52.97
063_EnnTic_Euchar	1963	1	509.42
063_EnnTic_LiApPrS	9937	2	201.27
063_EnnTic_PaThReD	5768	1	173.37
063_EnnTic_ViBAn	2585	1	386.85
063_EnnTic_ViBEp	12725	3	235.76
064_AriBoe_InToAr	49417	4	80.94
064_Boetiu_ConFid2	2306	1	433.65
064_GisPor_Commen5	38176	1	26.19
065_AuInFuR_Sermon16	64086	5	78.02
065_BonIi_EpEtDe17	4981	1	200.76
065_EleTor_Sermon14	9349	2	213.93
065_FulRus_CoSeFaA	10010	4	399.6
065_FulRus_DeFid2	17107	3	175.37
065_FulRus_DeInFiD	15358	11	716.24
065_FulRus_DeRePe	21793	4	183.55
065_FulRus_DeVePr	33485	1	29.86
065_FulRus_Episto74	96044	22	229.06
065_FulRus_InsFid	43625	1	22.92
065_FulRus_LiAdMo	27751	1	36.03
065_FulRus_Sermon15	14408	3	208.22
065_GuiTor_ViSEl	9543	2	209.58
066_Alberi_SeInSSc	3746	2	533.9
066_AuInAgI_EpAdAn	1209	1	827.13
066_AuInBeN_ScrSup	3853	7	1816.77
066_AucInc_OrdRom	3296	2	606.8
066_AucInc_ReCuPa	3298	4	1212.86
066_AucInc_RegTar	4800	1	208.33
066_BenNur_ReCuCo	438839	276	628.93
066_FerUce_ReAdMo2	7959	4	502.58
066_GreI_Proleg63	15237	12	787.56
066_PaAbStA_ReAdMo	3964	3	756.81
067_AuInDiE_DeInCaJ	10797	2	185.24
067_AuVaDiE_CoCaEc	37292	3	80.45
067_AuVaDiE_CoDePoR	37748	2	52.98
067_AucVar_ViSCa	15714	2	127.28
067_CaeAre_Append12	8268	2	241.9
067_CaeAre_Episto79	6848	3	438.08
067_CaeAre_Opuscu3	1058	1	945.18
067_CaeAre_ReAdMo3	2308	2	866.55
067_CaeAre_ReAdVi	7892	3	380.13
067_CaeAre_Sermon17	23325	10	428.72
067_CoVaDiE_CoCaEcU	13691	2	146.08
067_FacHer_PrDeTrC	135589	3	22.13
067_GrNyDiE_DeCrHo	27583	25	906.36
067_JusUrg_EpAdSe2	401	1	2493.77
067_JusUrg_ExInCaC	15680	7	446.43
068_AmAlViC_EvHaIn	53279	7	131.38
068_Arator_DeAcAp	19374	9	464.54
068_AucVar_VetTes3	191	1	5235.6
068_AurAre_ReAdMo4	4972	7	1407.88
068_AurAre_ReAdVi2	3739	7	1872.16
068_NicTre_Opuscu4	4133	1	241.95
068_PriAdr_CoInAp	74338	9	121.07
068_PriAdr_CoInEpS	204152	40	195.93
069_CaViAuV_Variae	135548	16	118.04
069_Gildas_DeExBr	28510	7	245.53
069_JuIAu_AdvOri	26690	1	37.47
069_JuIAu_Episto82	14702	1	68.02
069_PelI_Episto83	12350	1	80.97
069_SoSoThC_HisTri	151383	38	251.02
069_VigPap_EpEtDe18	55417	5	90.23
070_AuInCaV_ExInCaC2	32935	9	273.27
070_CasViv_Comple	39036	10	256.17
070_CasViv_DeAni2	12879	2	155.29
070_CasViv_DeInDiL	18670	1	53.56
070_CasViv_DeOrt	15684	2	127.52
070_CasViv_ExInPs	501633	57	113.63
070_CasViv_Praefa79	7156	1	139.74
071_AuInGrT_HiSeDo	4528	1	220.85
071_AuInGrT_VitAri	14053	1	71.16
071_AucVar_AnnFra	12020	2	166.39
071_AucVar_Append13	27527	1	36.33
071_FrScBu_Chroni8	27210	2	73.5
071_GreTur_DeGlBeC	26663	13	487.57
071_GreTur_DeMiSMa	34847	23	660.03
071_GreTur_HisFra	152248	32	210.18
071_GreTur_LibMir	42722	19	444.74
071_GreTur_VitPat	35877	27	752.57
071_OdoAbb_ViSGr	6002	2	333.22
072_BenI_Episto86	1732	1	577.37
072_Cogito_VitBri	6224	2	321.34
072_GerPar_ExBrLiG	5367	4	745.3
072_JuIAu_NovSel	60126	2	33.26
072_LeaHis_Regula2	9284	9	969.41
072_Lucule_Commen6	27666	14	506.04
072_MarBra_DeSup	1638	1	610.5
072_MarBra_FoHoVi	2739	1	365.1
